NAZEV,OKRES,KRAJ
Druztová,Plzeň-sever,Plzeňský kraj
Družec,Kladno,Středočeský kraj
Drysice,Vyškov,Jihomoravský kraj
Držkov,Jablonec nad Nisou,Liberecký kraj
Držková,Zlín,Zlínský kraj
Držovice,Prostějov,Olomoucký kraj
Dráchov,Tábor,Jihočeský kraj
Drásov,Příbram,Středočeský kraj
Drásov,Brno-venkov,Jihomoravský kraj
Drážov,Strakonice,Jihočeský kraj
Dub,Prachatice,Jihočeský kraj
Dub nad Moravou,Olomouc,Olomoucký kraj
Dubany,Pardubice,Pardubický kraj
Dubenec,Příbram,Středočeský kraj
Dubenec,Trutnov,Královéhradecký kraj
Dubicko,Šumperk,Olomoucký kraj
Dubičné,České Budějovice,Jihočeský kraj
Dublovice,Příbram,Středočeský kraj
Dubnice,Česká Lípa,Liberecký kraj
Dubno,Příbram,Středočeský kraj
Dubné,České Budějovice,Jihočeský kraj
Dubovice,Pelhřimov,Kraj Vysočina
Dubá,Česká Lípa,Liberecký kraj
Dubčany,Olomouc,Olomoucký kraj
Dubí,Teplice,Ústecký kraj
Dubňany,Hodonín,Jihomoravský kraj
Duchcov,Teplice,Ústecký kraj
Dudín,Jihlava,Kraj Vysočina
Dukovany,Třebíč,Kraj Vysočina
Dunajovice,Jindřichův Hradec,Jihočeský kraj
Dunice,Benešov,Středočeský kraj
Dušejov,Jihlava,Kraj Vysočina
Dušníky,Litoměřice,Ústecký kraj
Dvakačovice,Chrudim,Pardubický kraj
Dvorce,Jihlava,Kraj Vysočina
Dvorce,Bruntál,Moravskoslezský kraj
Dvory,Nymburk,Středočeský kraj
Dvory,Prachatice,Jihočeský kraj
Dvory nad Lužnicí,Jindřichův Hradec,Jihočeský kraj
Dvůr Králové nad Labem,Trutnov,Královéhradecký kraj
Dyje,Znojmo,Jihomoravský kraj
Dyjice,Jihlava,Kraj Vysočina
Dyjákovice,Znojmo,Jihomoravský kraj
Dyjákovičky,Znojmo,Jihomoravský kraj
Dymokury,Nymburk,Středočeský kraj
Dynín,České Budějovice,Jihočeský kraj
Dzbel,Prostějov,Olomoucký kraj
Džbánice,Znojmo,Jihomoravský kraj
Džbánov,Ústí nad Orlicí,Pardubický kraj
Dědice,Třebíč,Kraj Vysočina
Dědová,Chrudim,Pardubický kraj
Děhylov,Opava,Moravskoslezský kraj
Děkanovice,Benešov,Středočeský kraj
Děkov,Rakovník,Středočeský kraj
Děpoltovice,Karlovy Vary,Karlovarský kraj
Dětenice,Jičín,Královéhradecký kraj
Dětkovice,Vyškov,Jihomoravský kraj
Dětkovice,Prostějov,Olomoucký kraj
Dětmarovice,Karviná,Moravskoslezský kraj
Dětřichov,Liberec,Liberecký kraj
Dětřichov,Svitavy,Pardubický kraj
Dětřichov nad Bystřicí,Bruntál,Moravskoslezský kraj
Dětřichov u Moravské Třebové,Svitavy,Pardubický kraj
Děčany,Litoměřice,Ústecký kraj
Děčín,Děčín,Ústecký kraj
Dílce,Jičín,Královéhradecký kraj
Díly,Domažlice,Plzeňský kraj
Dírná,Tábor,Jihočeský kraj
Dívčice,České Budějovice,Jihočeský kraj
Dívčí Hrad,Bruntál,Moravskoslezský kraj
Dívčí Kopy,Jindřichův Hradec,Jihočeský kraj
Dřenice,Chrudim,Pardubický kraj
Dřetovice,Kladno,Středočeský kraj
Dřevnovice,Prostějov,Olomoucký kraj
Dřevohostice,Přerov,Olomoucký kraj
Dřevčice,Praha-východ,Středočeský kraj
Dřevěnice,Jičín,Královéhradecký kraj
Dřešín,Strakonice,Jihočeský kraj
Dřínov,Mělník,Středočeský kraj
Dřínov,Kladno,Středočeský kraj
Dřínov,Kroměříž,Zlínský kraj
Dřísy,Praha-východ,Středočeský kraj
Dříteč,Pardubice,Pardubický kraj
Dříteň,České Budějovice,Jihočeský kraj
Důl,Pelhřimov,Kraj Vysočina
Dýšina,Plzeň-město,Plzeňský kraj
Ejpovice,Rokycany,Plzeňský kraj
Erpužice,Tachov,Plzeňský kraj
Evaň,Litoměřice,Ústecký kraj
Eš,Pelhřimov,Kraj Vysočina
Felbabka,Beroun,Středočeský kraj
Frahelž,Jindřichův Hradec,Jihočeský kraj
Francova Lhota,Vsetín,Zlínský kraj
Františkov nad Ploučnicí,Děčín,Ústecký kraj
Františkovy Lázně,Cheb,Karlovarský kraj
Frenštát pod Radhoštěm,Nový Jičín,Moravskoslezský kraj
Frymburk,Český Krumlov,Jihočeský kraj
Frymburk,Klatovy,Plzeňský kraj
Fryšava pod Žákovou horou,Žďár nad Sázavou,Kraj Vysočina
Fryšták,Zlín,Zlínský kraj
Fryčovice,Frýdek-Místek,Moravskoslezský kraj
Frýdek-Místek,Frýdek-Místek,Moravskoslezský kraj
Frýdlant,Liberec,Liberecký kraj
Frýdlant nad Ostravicí,Frýdek-Místek,Moravskoslezský kraj
Frýdštejn,Jablonec nad Nisou,Liberecký kraj
Fulnek,Nový Jičín,Moravskoslezský kraj
Golčův Jeníkov,Havlíčkův Brod,Kraj Vysočina
Grešlové Mýto,Znojmo,Jihomoravský kraj
Gruna,Svitavy,Pardubický kraj
Grunta,Kolín,Středočeský kraj
Grygov,Olomouc,Olomoucký kraj
Grymov,Přerov,Olomoucký kraj
Habartice,Liberec,Liberecký kraj
Habartov,Sokolov,Karlovarský kraj
Habrovany,Ústí nad Labem,Ústecký kraj
Habrovany,Vyškov,Jihomoravský kraj
Habry,Havlíčkův Brod,Kraj Vysočina
Habrůvka,Blansko,Jihomoravský kraj
Habřina,Hradec Králové,Královéhradecký kraj
Habří,České Budějovice,Jihočeský kraj
Hadravova Rosička,Jindřichův Hradec,Jihočeský kraj
Hajany,Brno-venkov,Jihomoravský kraj
